\supsetneqq ⊋
\mfr 𝔪
\Iopf 𝕀
\Aogon Ą
\harrcir ⥈
\boxvl ┤
\nisd ⋺
\LeftTeeArrow ↤
\Xfr 𝔛
\Uparrow ⇑
\popf 𝕡
\Dagger ‡
\realine ℛ
\supne ⊋
\doteq ≐
\dharl ⇃
\boxUl ╜
\Jsercy Ј
\nexist ∄
\IJlig Ĳ
\expectation ℰ
\loang 
\Atilde Ã
\lmidot ŀ
\DDotrahd ⤑
\Ugrave Ù
\oplus ⊕
\Ncy Н
\tritime ⨻
\Uarrocir ⥉
\NegativeThinSpace  ︀
\rrarr ⇉
\NotGreater ≯
\VerticalSeparator ❘
\subsetneqq ⊊
\NotGreaterFullEqual ≰
\LongLeftArrow 
\DownArrow ↓
\dash ‐
\bigoplus ⊕
\rightarrowtail ↣
\itilde ĩ
\lg lg
\smid ∣︀
\GreaterSlantEqual ⩾
\dtrif ▾
\Wcirc Ŵ
\napprox ≉
\NotLeftTriangleBar ⧏̸
\njcy њ
\rsquo ’
\lpar (
\colon :
\Colone ⩴
\Downarrow ⇓
\Ecirc Ê
\eparsl ⧣
\SOFTcy Ь
\NewLine 

\plustwo ⨧
\epsi ε
\ycirc ŷ
\qscr 𝓆
\UnderBracket ⎵
\boxHD ╦
\def ≝
\Rcy Р
\Fcy Ф
\tcy т
\uscr 𝓊
\realpart ℜ
\gt >
\imagpart ℑ
\leftarrowtail ↢
\ell ℓ
\DoubleRightArrow ⇒
\boxdL ╕
\NotGreaterSlantEqual ≱
\jukcy є
\Aacute Á
\mu μ
\xmap 
\Tcy Т
\liminf liminf
\isins ⋴
\eogon ę
\boxhd ┬
\bigotimes ⊗
\top ⊤
\Tcaron Ť
\smallsetminus ∖︀
\oelig œ
\ldquor „
\compfn ∘
\lAarr ⇚
\frac16 ⅙
\Bumpeq ≎
\erarr ⥱
\xscr 𝓍
\DoubleLongRightArrow 
\boxvr ├
\thinsp  
\ZeroWidthSpace ​
\nvHarr ⇎
\lparlt ⦓
\hfr 𝔥
\nsube ⊈
\Mfr 𝔐
\ENG Ŋ
\boxVh ╫
\comma ,
\angmsdag ⦮
\succcurlyeq ≽
\sup2 ²
\RightDoubleBracket 〛
\reg ®
\Rarrtl ⤖
\nGt ≫̸
\DScy Ѕ
\NotCupCap ≭
\NotPrecedesSlantEqual ⋠
\Sc ⪼
\isin ∈
\GreaterEqualLess ⋛
\subsetneq ⊊
\LeftUpDownVector ⥑
\dotminus ∸
\efDot ≒
\scE ≾
\Not ⫬
\TScy Ц
\ne ≠
\DZcy Џ
\boxul ┘
\coprod ∐
\} }
\SubsetEqual ⊆
\SquareUnion ⊔
\Larr ↞
\lArr ⇐
\larrtl ↢
\drcorn ⌟
\tau τ
\seArr ⇘
\mapstodown ↧
\escr ℯ
\uHar ⥣
\Efr 𝔈
\llarr ⇇
\lap ≲
\lacute ĺ
\gnsim ⋧
\shy ­
\oast ⊛
\nsim ≁
\bbrk ⎵
\sfr 𝔰
\RightArrowBar ⇥
\gap ≳
\lozf ⧫
\NotLeftTriangle ⋪
\sin sin
\omid ⦶
\lE ≦
\Barwed ⌆
\hstrok ħ
\DiacriticalGrave `
\sqsupset ⊐
\boxHU ╩
\nhArr ⇎
\semi ;
\Rrightarrow ⇛
\DownTee ⊤
\swarrow ↙
\rHar ⥤
\tint ∭
\vnsup ⊅
\mstpos ∾
\lrcorner ⌟
\tshcy ћ
\rcy р
\lthree ⋋
\rlhar ⇌
\midast *
\ang ∠
\lnot ¬
\uuml ü
\gtrless ≷
\fflig ﬀ
\Cap ⋒
\Product ∏
\sopf 𝕤
\rnmid ⫮
\nsucceq ⪰̸
\bull •
